cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2013,ACA_mid,UT,f,32.192708333333336,897.0,96,48,-0.4153449874949523,0.1801221365703495,0.6601125108568601,899.0,933.0,3.781979977753059,C2013|UT,C2013|UT|f
C2013,UA,TJL,m,43.39795918367347,783.0,102,54,-0.2736606522419358,0.174223029140555,0.7605901360297014,806.0,908.0,12.655086848635236,C2013|TJL,C2013|TJL|m
C2013,UA,TJL,f,32.40217391304348,889.5,96,48,0.1552151689157753,0.1795952198022462,1.1679092318344684,891.0,876.0,-1.6835016835016836,C2013|TJL,C2013|TJL|f
C2013,UA,UM,m,38.45533980582525,796.0,108,60,-0.0007808461849229,0.1897355124876193,0.9992194585961252,921.0,923.0,0.21715526601520088,C2013|UM,C2013|UM|m
C2013,UA,UM,f,29.965263157894736,868.5,96,52,-0.0004169387052196,0.1745079877719126,0.9995831482016436,870.0,874.0,0.45977011494252873,C2013|UM,C2013|UM|f
C2013,UA,UT,m,41.57549019607843,807.0,102,54,0.0071064205878687,0.1724338259374434,1.007131731114882,807.0,806.0,-0.12391573729863693,C2013|UT,C2013|UT|m
C2013,UA,UT,f,32.192708333333336,897.0,96,48,-0.3596716424495007,0.1834791591733307,0.6979054509758887,899.0,922.0,2.558398220244716,C2013|UT,C2013|UT|f
C2014,Asp_200,TJL,m,43.96774193548387,846.5,102,54,-0.0465564930187233,0.1796345559330693,0.9545106358595766,873.0,845.0,-3.207331042382589,C2014|TJL,C2014|TJL|m
C2014,Asp_200,TJL,f,31.229166666666668,903.5,96,48,-0.2422550892541538,0.1791672673441907,0.7848559436968671,904.0,936.0,3.5398230088495577,C2014|TJL,C2014|TJL|f
C2014,Asp_200,UT,m,43.3894735263158,731.0,99,51,-0.2525166689473332,0.1775442644061403,0.7768432635719417,748.0,810.0,8.288770053475936,C2014|UT,C2014|UT|m
C2014,Asp_200,UT,f,34.46847820652174,881.5,92,44,0.4200346151915435,0.1923614838702086,1.52201423952123,874.0,869.0,-0.5720823798627003,C2014|UT,C2014|UT|f
C2014,Asp_60,TJL,m,43.96774193548387,846.5,102,54,-0.0835920552928766,0.1726833782878449,0.9198064097253786,873.0,881.0,0.9163802978235968,C2014|TJL,C2014|TJL|m
C2014,Asp_60,TJL,f,31.229166666666668,903.5,96,48,-0.0632857771091143,0.1787243416070666,0.9386751834750272,904.0,938.0,3.7610619469026547,C2014|TJL,C2014|TJL|f
C2014,Asp_60,UT,m,43.3894735263158,731.0,99,51,0.0507378758759482,0.1787412062265912,1.0520470902154804,748.0,713.0,-4.679144385026738,C2014|UT,C2014|UT|m
C2014,Asp_60,UT,f,34.46847820652174,881.5,92,44,0.2954583743482032,0.1854638396737982,1.3437421544772097,874.0,847.0,-3.0892448512585813,C2014|UT,C2014|UT|f
C2014,Gly,TJL,m,43.96774193548387,846.5,102,54,-0.1759104245729369,0.1734031613284702,0.8386931062656081,873.0,864.0,-1.0309278350515463,C2014|TJL,C2014|TJL|m
C2014,Gly,TJL,f,31.229166666666668,903.5,96,48,-0.4530243373877493,0.1813706114935405,0.635702662095966,904.0,959.0,6.084070796460177,C2014|TJL,C2014|TJL|f
C2014,Gly,UT,m,43.3894735263158,731.0,99,51,-0.4839152926187017,0.1798068748570755,0.6163654104008741,748.0,810.0,8.288770053475936,C2014|UT,C2014|UT|m
C2014,Gly,UT,f,34.46847820652174,881.5,92,44,-0.0503544371234278,0.1906808177043689,0.9508923332221344,874.0,895.0,2.402745995423341,C2014|UT,C2014|UT|f
